MAPPED_TRAIT_URI	MAPPED_TRAIT	SNPS	STUDY	LINK
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs557966248	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004682	QT interval	rs16936870	Genetic association study of QT interval highlights role for calcium signaling pathways in myocardial repolarization.	www.ncbi.nlm.nih.gov/pubmed/24952745
http://www.ebi.ac.uk/efo/EFO_0004343, http://www.ebi.ac.uk/efo/EFO_0004340	waist-hip ratio, body mass index	rs8042543	New genetic loci link adipose and insulin biology to body fat distribution.	www.ncbi.nlm.nih.gov/pubmed/25673412
http://www.ebi.ac.uk/efo/EFO_0004695	intraocular pressure measurement	rs7932983	Genome-Wide Association Analyses Identify New Loci Influencing Intraocular Pressure.	www.ncbi.nlm.nih.gov/pubmed/29617998
http://www.ebi.ac.uk/efo/EFO_0004286	venous thromboembolism	rs2028385 x rs2038227	A genome-wide search for common SNP x SNP interactions on the risk of venous thrombosis.	www.ncbi.nlm.nih.gov/pubmed/23509962
http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0004340	smoking behavior, body mass index	rs7599312	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	www.ncbi.nlm.nih.gov/pubmed/28443625
http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	rs2395185	A genome-wide association study identifies three new susceptibility loci for ulcerative colitis in the Japanese population.	www.ncbi.nlm.nih.gov/pubmed/19915573
http://www.ebi.ac.uk/efo/EFO_0008002, http://www.ebi.ac.uk/efo/EFO_0004340	physical activity measurement, body mass index	rs3732869	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0005271	sleep duration	rs4955158	Genome-wide association analysis of actigraphic sleep phenotypes in the LIFE Adult Study.	www.ncbi.nlm.nih.gov/pubmed/27126917
http://www.ebi.ac.uk/efo/EFO_0006337, http://www.ebi.ac.uk/efo/EFO_0004274, http://www.ebi.ac.uk/efo/EFO_0004761	response to allopurinol, gout, uric acid measurement	rs7555340	Genome-wide association study identifies ABCG2 (BCRP) as an allopurinol transporter and a determinant of drug response.	www.ncbi.nlm.nih.gov/pubmed/25676789
http://www.ebi.ac.uk/efo/EFO_0007987	granulocyte count	rs143699489	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0005133	MHPG measurement	rs2039964	Genome-wide association study of monoamine metabolite levels in human cerebrospinal fluid.	www.ncbi.nlm.nih.gov/pubmed/23319000
http://www.ebi.ac.uk/efo/EFO_0001073	obesity	rs13130484	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	www.ncbi.nlm.nih.gov/pubmed/23563607
http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007014	smoking behavior, 3-hydroxypropylmercapturic acid measurement	rs117403524	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	www.ncbi.nlm.nih.gov/pubmed/26053186
http://www.ebi.ac.uk/efo/EFO_0000474	epilepsy	rs39861	Genome-wide association analysis of genetic generalized epilepsies implicates susceptibility loci at 1q43, 2p16.1, 2q22.3 and 17q21.32.	www.ncbi.nlm.nih.gov/pubmed/22949513
http://www.ebi.ac.uk/efo/EFO_0004314	forced expiratory volume	rs62126408	Genome-wide association analyses for lung function and chronic obstructive pulmonary disease identify new loci and potential druggable targets.	www.ncbi.nlm.nih.gov/pubmed/28166213
http://www.ebi.ac.uk/efo/EFO_0001073	obesity	rs6711012	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	www.ncbi.nlm.nih.gov/pubmed/23563607
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs72638986	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs198160	Genome-wide association study of schizophrenia in Ashkenazi Jews.	www.ncbi.nlm.nih.gov/pubmed/26198764
http://www.ebi.ac.uk/efo/EFO_0007885, http://www.ebi.ac.uk/efo/EFO_0007922	JT interval, response to sulfonylurea	rs624896	Large-scale pharmacogenomic study of sulfonylureas and the QT, JT and QRS intervals: CHARGE Pharmacogenomics Working Group.	www.ncbi.nlm.nih.gov/pubmed/27958378
http://www.ebi.ac.uk/efo/EFO_0004791	tissue plasminogen activator measurement	rs2227667	Genome-wide association study for circulating tissue plasminogen activator levels and functional follow-up implicates endothelial STXBP5 and STX2.	www.ncbi.nlm.nih.gov/pubmed/24578379
http://www.ebi.ac.uk/efo/EFO_0007835	alcohol dependence measurement	rs11943027	Genome-wide association study of alcohol dependence:significant findings in African- and European-Americans including novel risk loci.	www.ncbi.nlm.nih.gov/pubmed/24166409
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	forced expiratory volume, response to bronchodilator	rs75368561	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
		rs149215314	A Genome-Wide Association Study of Idiopathic Dilated Cardiomyopathy in African Americans.	www.ncbi.nlm.nih.gov/pubmed/29495422
http://www.ebi.ac.uk/efo/EFO_0004762	vascular endothelial growth factor measurement	rs6993770	Six Novel Loci Associated with Circulating VEGF Levels Identified by a Meta-analysis of Genome-Wide Association Studies.	www.ncbi.nlm.nih.gov/pubmed/26910538
http://purl.obolibrary.org/obo/HP_0002140	Ischemic stroke	rs635634	Genetic variation at 16q24.2 is associated with small vessel stroke.	www.ncbi.nlm.nih.gov/pubmed/27997041
http://www.ebi.ac.uk/efo/EFO_0004723, http://www.ebi.ac.uk/efo/EFO_0001360	coronary artery calcification, type II diabetes mellitus	rs6559463	Genome-wide association study of coronary artery calcified atherosclerotic plaque in African Americans with type 2 diabetes.	www.ncbi.nlm.nih.gov/pubmed/29221444
http://www.ebi.ac.uk/efo/EFO_0007993	lymphocyte percentage of leukocytes	rs2814778	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0000685	rheumatoid arthritis	rs9557321	A genome-wide association study of rheumatoid arthritis without antibodies against citrullinated peptides.	www.ncbi.nlm.nih.gov/pubmed/24532677
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs710841	Many sequence variants affecting diversity of adult human height.	www.ncbi.nlm.nih.gov/pubmed/18391951
http://www.ebi.ac.uk/efo/EFO_0006831	acute insulin response measurement	rs10577852	A Genome-Wide Association Study of IVGTT-Based Measures of First-Phase Insulin Secretion Refines the Underlying Physiology of Type 2 Diabetes Variants.	www.ncbi.nlm.nih.gov/pubmed/28490609
http://www.ebi.ac.uk/efo/EFO_0007789, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist circumference, physical activity measurement	rs7632381	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0005852	Heschl's gyrus morphology measurement	rs75116816	A genome-wide search for quantitative trait loci affecting the cortical surface area and thickness of Heschl's gyrus.	www.ncbi.nlm.nih.gov/pubmed/25130324
http://www.ebi.ac.uk/efo/EFO_0004612	high density lipoprotein cholesterol measurement	rs12678919	Common variants at 30 loci contribute to polygenic dyslipidemia.	www.ncbi.nlm.nih.gov/pubmed/19060906
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	forced expiratory volume, response to bronchodilator	rs145717157	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0007865	loneliness measurement	rs117067567	Genome-Wide Association Study of Loneliness Demonstrates a Role for Common Variation.	www.ncbi.nlm.nih.gov/pubmed/27629369
http://www.ebi.ac.uk/efo/EFO_0003898, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.ebi.ac.uk/efo/EFO_0004268	ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis	rs4921482	Analysis of five chronic inflammatory diseases identifies 27 new associations and highlights disease-specific patterns at shared loci.	www.ncbi.nlm.nih.gov/pubmed/26974007
http://www.ebi.ac.uk/efo/EFO_0007842	chin morphology measurement	rs6740960	Detection and interpretation of shared genetic influences on 42 human traits.	www.ncbi.nlm.nih.gov/pubmed/27182965
http://purl.obolibrary.org/obo/GO_0036273	response to statin	rs10221833	Genome-wide association of lipid-lowering response to statins in combined study populations.	www.ncbi.nlm.nih.gov/pubmed/20339536
http://www.ebi.ac.uk/efo/EFO_0008082	chemokine (C-C motif) ligand 27 measurement	rs188795046	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs9880211	Defining the role of common variation in the genomic and biological architecture of adult human height.	www.ncbi.nlm.nih.gov/pubmed/25282103
http://www.ebi.ac.uk/efo/EFO_0005130	thyroxine measurement	rs7860634	A meta-analysis of thyroid-related traits reveals novel loci and gender-specific differences in the regulation of thyroid function.	www.ncbi.nlm.nih.gov/pubmed/23408906
http://www.ebi.ac.uk/efo/EFO_1001870	late-onset Alzheimers disease	rs144464515	Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.	www.ncbi.nlm.nih.gov/pubmed/27770636
http://www.ebi.ac.uk/efo/EFO_0003884	chronic kidney disease	rs11128347	Genome-wide association scan for survival on dialysis in African-Americans with type 2 diabetes.	www.ncbi.nlm.nih.gov/pubmed/21546767
http://www.ebi.ac.uk/efo/EFO_0004243	carcinoid tumor	rs10089	A pilot genome-wide association study shows genomic variants enriched in the non-tumor cells of patients with well-differentiated neuroendocrine tumors of the ileum.	www.ncbi.nlm.nih.gov/pubmed/21139019
http://www.ebi.ac.uk/efo/EFO_0008002, http://www.ebi.ac.uk/efo/EFO_0004340	physical activity measurement, body mass index	rs13107325	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0004695	intraocular pressure measurement	rs17050072	Genome-Wide Association Analyses Identify New Loci Influencing Intraocular Pressure.	www.ncbi.nlm.nih.gov/pubmed/29617998
http://www.ebi.ac.uk/efo/EFO_0000668	preeclampsia	rs10883969	Genome-wide association study of pre-eclampsia detects novel maternal single nucleotide polymorphisms and copy-number variants in subsets of the Hyperglycemia and Adverse Pregnancy Outcome (HAPO) study cohort.	www.ncbi.nlm.nih.gov/pubmed/23551011
http://www.ebi.ac.uk/efo/EFO_0004753	interleukin 12 measurement	rs2375980	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://www.ebi.ac.uk/efo/EFO_0008407	susceptibility to Mycobacterium tuberculosis infection measurement	rs117952535	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	forced expiratory volume, response to bronchodilator	rs45505795	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004335	short-term memory	rs11677416	Genome-wide pharmacogenomic study of neurocognition as an indicator of antipsychotic treatment response in schizophrenia.	www.ncbi.nlm.nih.gov/pubmed/21107309
http://www.ebi.ac.uk/efo/EFO_0003894	acne	rs149709	Genome-wide association study identifies three novel susceptibility loci for severe Acne vulgaris.	www.ncbi.nlm.nih.gov/pubmed/24927181
http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus	rs9936385	Genome-wide trans-ancestry meta-analysis provides insight into the genetic architecture of type 2 diabetes susceptibility.	www.ncbi.nlm.nih.gov/pubmed/24509480
http://www.ebi.ac.uk/efo/EFO_0004699	gambling behaviour	rs9383153	Genome-wide association study of a quantitative disordered gambling trait.	www.ncbi.nlm.nih.gov/pubmed/22780124
http://www.ebi.ac.uk/efo/EFO_0004527	mean corpuscular hemoglobin	rs6855993	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0005760	serum carcinoembryonic antigen measurement	rs3786749	Genetic variations affecting serum carcinoembryonic antigen levels and status of regional lymph nodes in patients with sporadic colorectal cancer from Southern China.	www.ncbi.nlm.nih.gov/pubmed/24941225
http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	rs12500234	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	www.ncbi.nlm.nih.gov/pubmed/29228715
http://www.ebi.ac.uk/efo/EFO_1001870	late-onset Alzheimers disease	rs73865608	Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.	www.ncbi.nlm.nih.gov/pubmed/27770636
http://www.ebi.ac.uk/efo/EFO_0007869	wellbeing measurement	rs1484140	Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.	www.ncbi.nlm.nih.gov/pubmed/27089181
http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	rs943072	Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47.	www.ncbi.nlm.nih.gov/pubmed/21297633
http://www.ebi.ac.uk/efo/EFO_0007804, http://purl.obolibrary.org/obo/GO_1903491, http://www.ebi.ac.uk/efo/EFO_0001360, http://purl.obolibrary.org/obo/GO_1901557	LDL cholesterol change measurement, response to simvastatin, type II diabetes mellitus, response to fenofibrate	rs2607653	Genetic Variants in HSD17B3, SMAD3, and IPO11 Impact Circulating Lipids in Response to Fenofibrate in Individuals With Type 2 Diabetes.	www.ncbi.nlm.nih.gov/pubmed/28736931
http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007014	smoking behavior, 3-hydroxypropylmercapturic acid measurement	rs17643636	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	www.ncbi.nlm.nih.gov/pubmed/26053186
http://www.ebi.ac.uk/efo/EFO_0008377	mosquito bite reaction itch intensity measurement	rs12832728	GWAS of self-reported mosquito bite size, itch intensity and attractiveness to mosquitoes implicates immune-related predisposition loci.	www.ncbi.nlm.nih.gov/pubmed/28199695
http://www.ebi.ac.uk/efo/EFO_0005193	serum IgG glycosylation measurement	rs10852453	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	www.ncbi.nlm.nih.gov/pubmed/23382691
http://www.ebi.ac.uk/efo/EFO_0004612	high density lipoprotein cholesterol measurement	rs13046373	Genome-wide characterization of shared and distinct genetic components that influence blood lipid levels in ethnically diverse human populations.	www.ncbi.nlm.nih.gov/pubmed/23726366
http://www.ebi.ac.uk/efo/EFO_0000571	lung adenocarcinoma	rs34638657	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	www.ncbi.nlm.nih.gov/pubmed/28604730
http://www.ebi.ac.uk/efo/EFO_0002690	systemic lupus erythematosus	rs1385374	Genome-wide association study in a Chinese Han population identifies nine new susceptibility loci for systemic lupus erythematosus.	www.ncbi.nlm.nih.gov/pubmed/19838193
http://www.ebi.ac.uk/efo/EFO_0008219	macrophage inflammatory protein 1b measurement	rs79815064	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://www.ebi.ac.uk/efo/EFO_0008340	fear of minor pain measurement	rs687735	A Preliminary Genome-Wide Association Study of Pain-Related Fear: Implications for Orofacial Pain.	www.ncbi.nlm.nih.gov/pubmed/28701861
http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007015	smoking behavior, 3-hydroxy-1-methylpropylmercapturic acid measurement	rs113196862	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	www.ncbi.nlm.nih.gov/pubmed/26053186
http://www.ebi.ac.uk/efo/EFO_0007789, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist circumference, physical activity measurement	rs4239436	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000341, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, chronic obstructive pulmonary disease, FEV/FEC ratio	rs188564008	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004833	neutrophil count	rs16895831	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.orpha.net/ORDO/Orphanet_2828	Young adult-onset Parkinsonism	chr5:120977240	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	www.ncbi.nlm.nih.gov/pubmed/28256260
http://www.ebi.ac.uk/efo/EFO_0004465	fasting blood glucose measurement	rs1483121	A genome-wide approach accounting for body mass index identifies genetic variants influencing fasting glycemic traits and insulin resistance.	www.ncbi.nlm.nih.gov/pubmed/22581228
http://www.ebi.ac.uk/efo/EFO_0007789, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist circumference, physical activity measurement	rs4886782	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://purl.obolibrary.org/obo/GO_0042493	response to drug	rs74347767	Genome-wide association study of d-amphetamine response in healthy volunteers identifies putative associations, including cadherin 13 (CDH13).	www.ncbi.nlm.nih.gov/pubmed/22952603
http://www.ebi.ac.uk/efo/EFO_0000289	bipolar disorder	rs4765913	Large-scale genome-wide association analysis of bipolar disorder identifies a new susceptibility locus near ODZ4.	www.ncbi.nlm.nih.gov/pubmed/21926972
http://www.ebi.ac.uk/efo/EFO_0005109	energy expenditure	rs11800820	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://www.ebi.ac.uk/efo/EFO_0004645	response to vaccine	rs1940973	Genome-wide association study of antibody response to smallpox vaccine.	www.ncbi.nlm.nih.gov/pubmed/22542470
http://www.ebi.ac.uk/efo/EFO_0000483	exercise	rs12612420	Genome-wide association study of exercise behavior in Dutch and American adults.	www.ncbi.nlm.nih.gov/pubmed/19727025
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000341	forced expiratory volume, response to bronchodilator, chronic obstructive pulmonary disease	rs2371824	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004237	Graves disease	rs4248154	Identification of independent risk loci for Graves' disease within the MHC in the Japanese population.	www.ncbi.nlm.nih.gov/pubmed/21900946
http://www.ebi.ac.uk/efo/EFO_0006336	diastolic blood pressure	rs6271	Novel Blood Pressure Locus and Gene Discovery Using Genome-Wide Association Study and Expression Data Sets From Blood and the Kidney.	www.ncbi.nlm.nih.gov/pubmed/28739976
http://www.ebi.ac.uk/efo/EFO_0008377, http://www.ebi.ac.uk/efo/EFO_0008378	mosquito bite reaction itch intensity measurement, mosquito bite reaction size measurement	rs144177557	GWAS of self-reported mosquito bite size, itch intensity and attractiveness to mosquitoes implicates immune-related predisposition loci.	www.ncbi.nlm.nih.gov/pubmed/28199695
http://www.ebi.ac.uk/efo/EFO_0008414	susceptibility to measles measurement	rs143835899	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0004723, http://www.ebi.ac.uk/efo/EFO_0001360	coronary artery calcification, type II diabetes mellitus	rs7906829	Genome-wide association study of coronary artery calcified atherosclerotic plaque in African Americans with type 2 diabetes.	www.ncbi.nlm.nih.gov/pubmed/29221444
http://www.ebi.ac.uk/efo/EFO_0004847, http://www.ebi.ac.uk/efo/EFO_0000249	age at onset, Alzheimers disease	rs11742761	Family-based association analyses of imputed genotypes reveal genome-wide significant association of Alzheimer's disease with OSBPL6, PTPRG, and PDCL3.	www.ncbi.nlm.nih.gov/pubmed/26830138
http://www.ebi.ac.uk/efo/EFO_0004348	hematocrit	rs145611121	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://purl.obolibrary.org/obo/HP_0002014	diarrhea	rs8111874	A genome-wide association meta-analysis of diarrhoeal disease in young children identifies FUT2 locus and provides plausible biological pathways.	www.ncbi.nlm.nih.gov/pubmed/27559109
http://www.ebi.ac.uk/efo/EFO_0007996	eosinophil percentage of granulocytes	rs7047907	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0000305	breast carcinoma	rs11571833	Large-scale genotyping identifies 41 new loci associated with breast cancer risk.	www.ncbi.nlm.nih.gov/pubmed/23535729
http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0004895	obsessive-compulsive disorder, Tourette syndrome	rs4988462	Cross-disorder genome-wide analyses suggest a complex genetic relationship between Tourette's syndrome and OCD.	www.ncbi.nlm.nih.gov/pubmed/25158072
http://www.ebi.ac.uk/efo/EFO_0003885	multiple sclerosis	rs4679081	Analysis of immune-related loci identifies 48 new susceptibility variants for multiple sclerosis.	www.ncbi.nlm.nih.gov/pubmed/24076602
http://www.ebi.ac.uk/efo/EFO_0004723, http://www.ebi.ac.uk/efo/EFO_0001360	coronary artery calcification, type II diabetes mellitus	rs57545798	Genome-wide association study of coronary artery calcified atherosclerotic plaque in African Americans with type 2 diabetes.	www.ncbi.nlm.nih.gov/pubmed/29221444
		rs1846594	A Genome-Wide Association Study of Idiopathic Dilated Cardiomyopathy in African Americans.	www.ncbi.nlm.nih.gov/pubmed/29495422
http://www.ebi.ac.uk/efo/EFO_0004708	nodular sclerosis Hodgkin lymphoma	rs3781093	Genome-wide association study of classical Hodgkin lymphoma identifies key regulators of disease susceptibility.	www.ncbi.nlm.nih.gov/pubmed/29196614
http://www.ebi.ac.uk/efo/EFO_0007627	airway imaging measurement	rs74315875	Genome-wide association study of subclinical interstitial lung disease in MESA.	www.ncbi.nlm.nih.gov/pubmed/28521775
http://www.ebi.ac.uk/efo/EFO_0007991	eosinophil percentage of leukocytes	rs4578769	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0007626	emphysema imaging measurement	rs72482608	A Genome-Wide Association Study of Emphysema and Airway Quantitative Imaging Phenotypes.	www.ncbi.nlm.nih.gov/pubmed/26030696
http://www.ebi.ac.uk/efo/EFO_0008270	proprotein convertase subtilisin/kexin type 7 measurement	rs4938330	Connecting genetic risk to disease end points through the human blood plasma proteome.	www.ncbi.nlm.nih.gov/pubmed/28240269
http://www.ebi.ac.uk/efo/EFO_0004574	total cholesterol measurement	rs2290159	Biological, clinical and population relevance of 95 loci for blood lipids.	www.ncbi.nlm.nih.gov/pubmed/20686565
http://www.ebi.ac.uk/efo/EFO_1001486	primary biliary cirrhosis	rs12712133	International genome-wide meta-analysis identifies new primary biliary cirrhosis risk loci and targetable pathogenic pathways.	www.ncbi.nlm.nih.gov/pubmed/26394269
http://www.ebi.ac.uk/efo/EFO_0004526	mean corpuscular volume	rs10929547	Genome-wide Trans-ethnic Meta-analysis Identifies Seven Genetic Loci Influencing Erythrocyte Traits and a Role for RBPMS in Erythropoiesis.	www.ncbi.nlm.nih.gov/pubmed/28017375
http://www.ebi.ac.uk/efo/EFO_0004682	QT interval	rs144778694	GWAS of the electrocardiographic QT interval in Hispanics/Latinos generalizes previously identified loci and identifies population-specific signals.	www.ncbi.nlm.nih.gov/pubmed/29213071
http://www.ebi.ac.uk/efo/EFO_0000275	atrial fibrillation	rs13376333	Common variants in KCNN3 are associated with lone atrial fibrillation.	www.ncbi.nlm.nih.gov/pubmed/20173747
http://www.ebi.ac.uk/efo/EFO_0004246	mucocutaneous lymph node syndrome	rs9290065	Two new susceptibility loci for Kawasaki disease identified through genome-wide association analysis.	www.ncbi.nlm.nih.gov/pubmed/22446961
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs572182531	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0003829	alcohol dependence	rs6810498	Genome-wide association study of alcohol dependence:significant findings in African- and European-Americans including novel risk loci.	www.ncbi.nlm.nih.gov/pubmed/24166409
http://www.ebi.ac.uk/efo/EFO_0004574	total cholesterol measurement	rs11208004	Association analyses of East Asian individuals and trans-ancestry analyses with European individuals reveal new loci associated with cholesterol and triglyceride levels.	www.ncbi.nlm.nih.gov/pubmed/28334899
http://purl.obolibrary.org/obo/HP_0012235, http://purl.obolibrary.org/obo/GO_0097338	drug-induced agranulocytosis, response to clozapine	rs7428297	Clozapine-induced agranulocytosis is associated with rare HLA-DQB1 and HLA-B alleles.	www.ncbi.nlm.nih.gov/pubmed/25187353
http://www.ebi.ac.uk/efo/EFO_0005203	eating disorder	rs74566133	Genetic variants associated with disordered eating.	www.ncbi.nlm.nih.gov/pubmed/23568457
http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007789	smoking behavior, BMI-adjusted waist circumference	rs12048049	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	www.ncbi.nlm.nih.gov/pubmed/28443625
http://www.ebi.ac.uk/efo/EFO_0004833, http://www.ebi.ac.uk/efo/EFO_0005090	neutrophil count, basophil count	rs150616068	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0000183	Hodgkins lymphoma	rs2608053	A genome-wide association study of Hodgkin's lymphoma identifies new susceptibility loci at 2p16.1 (REL), 8q24.21 and 10p14 (GATA3).	www.ncbi.nlm.nih.gov/pubmed/21037568
http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus	rs12714314	PROX1 gene CC genotype as a major determinant of early onset of type 2 diabetes in slavic study participants from Action in Diabetes and Vascular Disease: Preterax and Diamicron MR Controlled Evaluation study.	www.ncbi.nlm.nih.gov/pubmed/28060188
